scaffold	type	Quality
NC_031926.1 Flavobacterium phage 2A, complete genome	lysogenic	low quality draft
NC_004615.1 Staphylococcus phage 11, complete genome	lysogenic	high quality draft
NC_049466.2 Escherichia phage vB_EcoM_4HA13, complete genome	lytic	high quality draft
NC_027636.1 Gokushovirinae Bog5712_52, complete genome	lytic	low quality draft
NC_054659.1 Streptomyces phage Spernnie, complete genome	lytic	high quality draft
NC_049917.1 Escherichia phage Lys12581Vzw, complete genome	lysogenic	high quality draft
NC_001909.1 Lactococcus phage bIL170, complete genome	lytic	low quality draft
NC_049922.1 Stx converting phage vB_EcoS_ST2-8624, complete genome	lysogenic	high quality draft
NC_054805.1 Mycobacterium phage Anselm, complete genome	lysogenic	high quality draft
NC_053245.1 Gordonia phage Ali17, complete genome	lytic	low quality draft
NC_030394.2 Short-finned eel ranavirus isolate ANGA14001, complete genome	lytic	medium quality draft
NC_015271.1 Salmonella phage Vi06 complete sequence	lytic	high quality draft
NC_048720.1 Streptomyces phage Blueeyedbeauty, complete genome	lytic	high quality draft
NC_049359.1 Lactococcus phage 936 group phage PhiL.18, complete genome	lytic	low quality draft
NC_054670.1 Streptomyces phage Thestral, complete genome	lytic	high quality draft
NC_055889.1 CrAssphage cr53_1, complete genome	lytic	medium quality draft
NC_031027.1 Bacillus phage SageFayge, complete genome	lytic	high quality draft
NC_048691.1 Paenibacillus phage Tadhana, complete genome	lysogenic	high quality draft
NC_049360.1 Lactococcus phage 936 group phage Phi109, complete genome	lytic	low quality draft
NC_028795.1 Enterobacter phage E-3, complete genome	lytic	high quality draft
NC_031281.1 Mycobacterium phage Panchino, complete genome	lysogenic	medium quality draft
NC_051607.1 Mycobacterium phage DarthP, complete genome	lysogenic	high quality draft
NC_055899.1 CrAssphage cr124_1, complete genome	lytic	low quality draft
NC_048088.1 Cronobacter phage CS01, complete genome	lytic	high quality draft
NC_028995.1 Acinetobacter phage phiAC-1, complete genome	lytic	medium quality draft
NC_028675.1 Acinetobacter phage phiAB1, complete genome	lytic	high quality draft
NC_027379.1 Proteus phage PM 85, complete genome	lytic	high quality draft
NC_015158.1 Vibrio phage ICP2, complete genome	lytic	medium quality draft
NC_054455.1 Mycobacterium phage Tapioca, complete genome	lysogenic	low quality draft
NC_004167.1 Bacteriophage phi-105 DNA, complete sequence	lytic	medium quality draft
NC_028651.1 Hydrogenobaculum phage 1 strain HP1, complete genome	lytic	low quality draft
NC_026609.1 Lactobacillus phage Ldl1, complete genome	lysogenic	high quality draft
NC_024355.1 Staphylococcus phage 6ec, complete genome	lysogenic	high quality draft
NC_049436.1 Ruegeria phage vB_RpoP-V13, complete genome	lytic	high quality draft
NC_031277.1 Mycobacterium phage ArcherNM, complete genome	lytic	high quality draft
NC_041924.1 Acinetobacter phage WCHABP12, complete genome	lytic	high quality draft
NC_031096.1 Pectobacterium phage PP90, complete genome	lytic	high quality draft
NC_049443.1 UNVERIFIED: Salmonella phage SeSz-1, complete genome	lytic	high quality draft
NC_055780.1 UNVERIFIED: Escherichia phage MLF4, partial genome	lytic	high quality draft
NC_054784.1 Mycobacterium phage Pharaoh, complete genome	lysogenic	high quality draft
NC_054810.1 Mycobacterium phage Georgie2, complete genome	lysogenic	high quality draft
NC_048053.1 Dickeya phage vB_DsoM_JA29, complete genome	lytic	high quality draft
NC_007055.1 Staphylococcus phage 37, complete genome	lysogenic	high quality draft
NC_027621.1 Propionibacterium phage Wizzo, complete genome	lytic	high quality draft
NC_048823.1 Gordonia phage Untouchable, complete genome	lytic	medium quality draft
NC_042138.1 Klebsiella phage PMBT1 genome assembly, complete genome: monopartite	lytic	high quality draft
NC_048716.1 Paenibacillus phage Lucielle, complete genome	lysogenic	high quality draft
NC_004087.1 Sulfolobus islandicus rod-shaped virus 1, complete genome	lytic	low quality draft
NC_054808.1 Mycobacterium phage Centaur, complete genome	lysogenic	high quality draft
NC_005872.1 Pyrobaculum spherical virus, complete genome	lytic	low quality draft
NC_054646.1 Salmonella phage VB_StyS_BS5, complete genome	lytic	high quality draft
NC_052991.1 Serratia phage KpYy_1_41, complete genome	lytic	high quality draft
NC_047873.1 Pseudomonas phage UNO-SLW1, complete genome	lytic	high quality draft
NC_042069.1 Pseudomonas phage phiNN segment M, complete sequence	lytic	low quality draft
NC_028840.1 Escherichia phage slur09 genome assembly slu09, chromosome : 1	lytic	high quality draft
NC_031021.1 Salmonella phage MA12, complete genome	lytic	low quality draft
NC_033133.1 Hubei picorna-like virus 66 strain SSZZ2530 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds	lytic	low quality draft
NC_042047.1 Serratia phage vB_Sru_IME250, complete genome	lytic	high quality draft
NC_049822.1 Escherichia phage vB_EcoS_G29-2, complete genome	lytic	high quality draft
NC_004665.1 Pseudomonas phage gh-1, complete genome	lytic	high quality draft
NC_048770.1 Aeromonas phage 2_L372X, complete genome	lytic	high quality draft
NC_010356.1 Glossina pallidipes salivary gland hypertrophy virus, complete genome	lytic	low quality draft
NC_048850.1 Mycobacterium phage Cornie, complete genome	lysogenic	low quality draft
NC_030939.1 Gordonia phage GMA4, complete genome	lysogenic	medium quality draft
NC_047931.1 Lactobacillus phage Maenad, complete genome	lysogenic	high quality draft
NC_031037.1 Bacillus phage Nigalana, complete genome	lytic	high quality draft
NC_012741.1 Enterobacteria phage JS10, complete genome	lytic	high quality draft
NC_027339.1 Enterobacteria phage SfI, complete genome	lysogenic	high quality draft
NC_005880.2 Staphylococcus phage K, complete genome	lytic	high quality draft
NC_023732.1 Mycobacterium phage Rumpelstiltskin, complete genome	lysogenic	high quality draft
NC_024385.1 Leuconostoc phage phiLN12, complete genome	lytic	medium quality draft
NC_013587.1 Sulfolobus spindle-shaped virus 6, complete genome	lysogenic	low quality draft
NC_022757.1 Lactobacillus phage PL-1, complete genome	lysogenic	high quality draft
NC_003381.1 Banana streak OL virus, complete genome	lytic	low quality draft
NC_029028.1 Enterobacteria phage JenP1, complete genome	lytic	high quality draft
NC_005069.1 Yersinia phage PY54, complete genome	lytic	medium quality draft
NC_051604.1 Mycobacterium phage Hurricane, complete genome	lysogenic	high quality draft
NC_042060.1 Pseudomonas phage PA7, partial genome	lytic	high quality draft
NC_052419.1 Mycobacterium phage Big3, complete genome	lytic	high quality draft
NC_027353.1 Yersinia phage phiD1 complete genome	lytic	high quality draft
NC_041901.1 Mycobacterium phage Lukilu, complete genome	lytic	high quality draft
NC_054782.1 Mycobacterium phage Koko, complete genome	lytic	high quality draft
NC_015457.1 Shigella phage Shfl2, complete genome	lytic	high quality draft
NC_029021.1 Enterobacteria phage JenK1, complete genome	lytic	high quality draft
NC_021557.1 Rhizobium phage RR1-B genomic sequence	lytic	high quality draft
NC_048196.1 Escherichia phage vB_EcoM_Schickermooser, complete genome	lytic	high quality draft
NC_051689.1 Mycobacterium phage Nimbo, complete genome	lysogenic	medium quality draft
NC_026594.1 Pseudomonas phage vB_PaeS_PAO1_Ab18, complete genome	lytic	medium quality draft
NC_055794.1 Vibrio phage Achelous, complete genome	lytic	high quality draft
NC_030944.1 Gordonia phage Demosthenes, complete genome	lytic	high quality draft
NC_052465.1 Mycobacterium phage Snazzy, complete genome	lytic	high quality draft
NC_025451.1 Yersinia phage vB_YenP_AP5, complete genome	lytic	high quality draft
NC_054794.1 Mycobacterium phage Stasia, complete genome	lytic	high quality draft
NC_020486.1 Synechococcus phage S-RIM8 A.HR1, complete genome	lytic	high quality draft
NC_048755.1 Stenotrophomonas phage YB07, complete genome	lytic	high quality draft
NC_027639.1 Microviridae Fen2266_11, complete genome	lytic	low quality draft
NC_011810.1 Pseudomonas phage PB1, complete genome	lytic	high quality draft
NC_042040.1 Rhodococcus phage Trina, complete genome	lytic	high quality draft
NC_013152.1 Lactococcus phage CB14, complete genome	lytic	low quality draft
NC_051739.1 Mycobacterium phage Purky, complete genome	lysogenic	medium quality draft
NC_019713.1 Vibrio phage vB_VpaS_MAR10, complete genome	lytic	high quality draft
NC_055859.1 Gordonia phage Paries, complete genome	lytic	low quality draft
NC_049396.1 Salmonella phage SP1, partial genome	lytic	high quality draft
NC_051624.1 Mycobacterium phage Nibb, complete genome	lysogenic	high quality draft
NC_019513.1 Staphylococcus phage SMSAP5, complete genome	lysogenic	medium quality draft
NC_049401.1 Lactococcus phage 38503, complete genome	lytic	low quality draft
NC_049847.1 Klebsiella phage Sin4, complete genome	lytic	high quality draft
NC_055782.1 Escherichia phage AnYang, complete genome	lytic	high quality draft
NC_026163.1 Sewage-associated gemycircularvirus-7a isolate BS3939, complete sequence	lytic	low quality draft
NC_053505.1 Mycobacterium phage Krypton555, complete genome	lysogenic	high quality draft
NC_042039.1 Shigella phage Sf22, complete genome	lytic	high quality draft
NC_007810.1 Pseudomonas phage F8, complete genome	lytic	high quality draft
NC_031028.1 Gordonia phage Ghobes, complete genome	lytic	high quality draft
NC_028762.1 Proteus phage vB_PmiM_Pm5461, complete genome	lytic	high quality draft
NC_048844.1 Flavobacterium phage vB_FspS_tooticki6-1, complete genome	lytic	high quality draft
NC_055888.1 CrAssphage cr52_1, complete genome	lytic	medium quality draft
NC_054759.1 Mycobacterium phage PurpleHaze, complete genome	lysogenic	high quality draft
NC_050149.1 Pseudomonas phage vB_PaeM_USP_1, complete genome	lytic	high quality draft
NC_030920.1 Bacillus phage Eldridge, complete genome	lytic	high quality draft
NC_041997.1 Acidovorax phage ACP17, complete genome	lytic	high quality draft
NC_048117.1 Pectobacterium phage Khlen, complete genome	lytic	high quality draft
NC_028876.2 Mycobacterium phage Ariel, complete genome	lysogenic	medium quality draft
NC_041937.1 Escherichia phage V18, complete genome	lytic	high quality draft
NC_030119.1 Bovine faeces associated smacovirus 2 isolate 23_Fec30587_cow, complete sequence	lytic	low quality draft
NC_047922.1 Pseudomonas phage Henninger, complete genome	lytic	high quality draft
NC_005259.1 Mycobacterium phage PG1, complete genome	lytic	high quality draft
NC_051733.1 Mycobacterium phage Phineas, complete genome	lysogenic	medium quality draft
NC_021781.2 Listeria phage LP-125, complete genome	lytic	high quality draft
NC_019934.1 Cronobacter phage ENT39118, complete genome	lysogenic	high quality draft
NC_028882.1 Pseudomonas phage vB_PaeM_PS24, complete genome	lytic	high quality draft
NC_024388.1 Leuconostoc phage phiLN34, complete genome	lytic	medium quality draft
NC_021778.1 Mannheimia phage vB_MhM_1152AP, complete genome	lysogenic	high quality draft
NC_048839.1 Flavobacterium phage vB_FspS_sniff9-1, complete genome	lytic	high quality draft
NC_047848.1 Shigella phage Sf12, complete genome	lytic	high quality draft
NC_028777.1 Bacillus phage Stills, complete genome	lysogenic	high quality draft
NC_041833.1 Campylobacter phage vB_CcoM-IBB_35 clone Contig2, complete sequence	lytic	high quality draft
NC_042119.1 Microbacterium phage Pikmin, complete genome	lytic	medium quality draft
NC_054776.1 Mycobacterium phage Zolita, complete genome	lytic	high quality draft
NC_047857.1 Klebsiella phage phiKpS2, complete genome	lytic	high quality draft
NC_055857.1 Gordonia phage Jambalaya, complete genome	lysogenic	low quality draft
NC_051655.1 Mycobacterium phage Enby, complete genome	lysogenic	medium quality draft
NC_052421.1 Mycobacterium phage Bircsak, complete genome	lytic	high quality draft
NC_007065.1 Staphylococcus phage X2, complete genome	lytic	high quality draft
NC_051674.1 Mycobacterium phage Koella, complete genome	lysogenic	medium quality draft
NC_052410.1 Mycobacterium phage Scowl, complete genome	lytic	high quality draft
NC_042309.1 Mycobacterium virus Gladiator, complete genome	lytic	high quality draft
NC_049368.1 Lactococcus phage 936 group phage PhiM1127, complete genome	lytic	low quality draft
NC_019538.1 Aeromonas phage CC2, complete genome	lytic	high quality draft
NC_054674.1 Streptomyces phage Joe, complete genome	lytic	high quality draft
NC_030934.1 Pseudomonas phage vB_PsyM_KIL1, complete genome	lytic	high quality draft
NC_048172.1 Escherichia phage Minorna, complete genome	lytic	high quality draft
NC_047785.1 Shigella phage SH6, complete genome	lytic	high quality draft
NC_042125.1 Enterococcus phage LY0322, complete genome	lytic	high quality draft
NC_023856.1 Salmonella phage vB_SalM_SJ2, complete genome	lytic	high quality draft
NC_018874.1 Abalone herpesvirus Victoria/AUS/2009, complete genome	lytic	medium quality draft
NC_051709.1 Mycobacterium phage SimranZ1, complete genome	lysogenic	medium quality draft
NC_004313.1 Salmonella phage ST64B, complete genome	lysogenic	high quality draft
NC_028685.1 Shigella phage Ss-VASD, complete genome	lysogenic	high quality draft
NC_047820.1 Escherichia phage vB_EcoS_ESCO41, complete genome	lytic	high quality draft
NC_052932.1 Microbacterium phage PaoPu, complete genome	lytic	low quality draft
NC_048812.1 Gordonia phage Gibbin, complete genome	lytic	high quality draft
NC_041846.1 Mycobacterium phage Bask21, complete genome	lysogenic	high quality draft
NC_048057.1 Dickeya phage Katbat, complete genome	lytic	high quality draft
NC_042010.1 Streptomyces phage Paradiddles, complete genome	lytic	high quality draft
NC_030936.1 Gordonia phage Bachita, complete genome	lysogenic	high quality draft
NC_020863.1 Vibrio phage PWH3a-P1 genomic sequence	lytic	high quality draft
NC_054723.1 Gordonia phage Pupper, complete genome	lytic	high quality draft
NC_054981.1 Staphylococcus phage vB_SauS-SAP27, complete genome	lysogenic	medium quality draft
NC_026013.1 Microviridae IME-16, complete sequence	lytic	low quality draft
NC_038484.1 Pacific flying fox faeces associated gemycircularvirus-10 isolate Tbat_45285, complete genome	lytic	low quality draft
NC_048682.1 Raoultella phage Ro1, complete genome	lytic	high quality draft
NC_014636.1 Aeromonas phage phiAS5, complete genome	lytic	high quality draft
NC_042018.1 Erwinia phage vB_EamM_RisingSun, complete genome	lytic	high quality draft
NC_031229.1 Gordonia phage Hotorobo, complete genome	lytic	high quality draft
NC_055047.1 Staphylococcus phage phiSa2wa_st30, complete genome	lysogenic	medium quality draft
NC_031901.1 Streptococcus phage phiARI0131-1, complete genome	lysogenic	low quality draft
NC_048169.1 Gordonia phage BrutonGaster, complete genome	lysogenic	high quality draft
NC_051629.1 Mycobacterium phage Yuna, complete genome	lysogenic	high quality draft
NC_004827.1 Bacteriophage Aaphi23, complete genome	lysogenic	medium quality draft
NC_009810.1 Listeria phage A500, complete genome	lysogenic	high quality draft
NC_048193.1 Escherichia phage vB_EcoP_PTXU04, complete genome	lytic	medium quality draft
NC_025824.1 Escherichia phage fd strain 478, complete genome	lytic	low quality draft
NC_049355.1 Lactococcus phage 936 group phage PhiB1127, complete genome	lytic	low quality draft
NC_021316.1 Acinetobacter phage Abp1, complete genome	lytic	high quality draft
NC_055860.1 Mycobacterium phage Heath, complete genome	lytic	high quality draft
NC_023566.1 Rhizobium phage vB_RglS_P106B, complete genome	lytic	high quality draft
NC_055717.1 Vibrio phage pVco-5, complete genome	lytic	high quality draft
NC_020867.1 Synechococcus phage S-RIP1 genomic sequence	lytic	high quality draft
NC_042324.1 Mycobacterium virus Museum, complete genome	lytic	high quality draft
NC_048024.1 Klebsiella phage NJS1, complete genome	lytic	high quality draft
NC_005886.2 Burkholderia cenocepacia phage BcepB1A, complete genome	lytic	high quality draft
NC_030123.1 Bovine faeces associated smacovirus 3 isolate 48_Fec5_cow, complete sequence	lytic	low quality draft
NC_015283.1 Prochlorococcus phage P-RSM4, complete genome	lytic	high quality draft
NC_048744.1 Pseudomonas phage EPa61, complete genome	lytic	high quality draft
NC_031036.1 Lactobacillus phage PLE2, complete genome	lysogenic	medium quality draft
NC_051587.1 Mycobacterium phage Serendipitous, complete genome	lytic	high quality draft
NC_049364.1 Lactococcus phage 936 group phage Phi91127, complete genome	lytic	low quality draft
NC_052993.1 Salmonella phage ER19, complete genome	lytic	high quality draft
NC_041932.1 Arthrobacter phage Martha, complete genome	lytic	high quality draft
NC_053247.1 Gordonia Phage Zitch, complete genome	lytic	low quality draft
NC_055812.1 Mycobacterium phage Obutu, complete genome	lytic	high quality draft
NC_049411.1 Lactococcus phage 79201, complete genome	lytic	low quality draft
NC_020835.1 Prochlorococcus phage P-SSP10 genomic sequence	lytic	high quality draft
NC_028991.1 Clostridium phage phiCT453A, complete genome	lytic	medium quality draft
NC_018855.1 Enterobacteria phage HX01, complete genome	lytic	high quality draft
NC_055816.1 Gordonia phage Fireball, complete genome	lysogenic	low quality draft
NC_051740.1 Mycobacterium phage Xavia, complete genome	lysogenic	medium quality draft
NC_004688.1 Mycobacterium phage Omega, complete genome	lysogenic	medium quality draft
NC_029314.1 Acidianus rod-shaped virus 2 strain ARV2, complete genome	lytic	low quality draft
NC_055810.1 Gordonia phage Nubi, complete genome	lysogenic	low quality draft
NC_018837.1 Pectobacterium phage My1, complete genome	lytic	high quality draft
NC_052964.1 Pseudomonas phage Epa5, complete genome	lytic	medium quality draft
NC_019411.1 Caulobacter phage CcrSwift, complete genome	lysogenic	high quality draft
NC_024140.1 Pseudomonas phage vB_PaeP_C2-10_Ab09, complete genome	lytic	high quality draft
NC_020849.1 Pseudoalteromonas phage pYD6-A genomic sequence	lytic	high quality draft
NC_030129.1 Bovine faeces associated smacovirus 6 isolate GP3_46075_cow, complete sequence	lytic	low quality draft
NC_052430.1 Mycobacterium phage Fajezeel, complete genome	lytic	high quality draft
NC_047942.1 Escherichia phage Ebrios, complete genome	lytic	high quality draft
NC_042339.1 Mycobacterium virus Arturo, complete genome	lytic	high quality draft
NC_021779.1 Salmonella phage FSL SP-030, complete genome	lytic	high quality draft
NC_031939.1 Salmonella phage BPS15Q2, complete genome	lytic	high quality draft
NC_041880.1 Pseudomonas phage phiPMW, complete genome	lytic	high quality draft
NC_018281.1 Staphylococcus phage vB_SepiS-phiIPLA5, complete genome	lysogenic	high quality draft
NC_055011.1 Lactococcus phage CHPC1020, complete genome	lytic	medium quality draft
NC_052458.1 Mycobacterium phage Ringer, complete genome	lytic	high quality draft
NC_054781.1 Mycobacterium phage Priamo, complete genome	lytic	high quality draft
NC_029061.1 Rhodoferax phage P26218, complete genome	lytic	medium quality draft
NC_028962.1 Staphylococcus phage phiIPLA-C1C, complete genome	lytic	high quality draft
NC_011104.1 Lactobacillus phage Lrm1, complete genome	lysogenic	high quality draft
NC_055785.1 Gordonia phage Mutzi, complete genome	lysogenic	low quality draft
NC_048149.1 Salmonella phage 1-23, complete genome	lytic	high quality draft
NC_031238.1 Mycobacterium phage Catalina, complete genome	lytic	high quality draft
NC_048775.1 Aeromonas phage LAh_8, complete genome	lytic	high quality draft
NC_055918.1 Mycobacterium phage OhShagHennessy, complete genome	lysogenic	high quality draft
NC_049377.1 Lactococcus phage 13W11L, complete genome	lytic	low quality draft
NC_021529.2 Vibrio phage nt-1, complete genome	lytic	high quality draft
NC_018086.1 Enterococcus phage BC-611, complete genome	lytic	high quality draft
NC_031909.1 Campylobacter phage PC14, complete genome	lytic	high quality draft
NC_020862.2 Sulfitobacter phage phiCB2047-B genomic sequence	lytic	high quality draft
NC_042321.1 Mycobacterium virus Lesedi, complete genome	lytic	high quality draft
NC_055726.1 Cronobacter phage Pet-CM3-4 genome assembly, chromosome: I	lytic	high quality draft
NC_022752.1 Salmonella phage SETP13, complete genome	lytic	medium quality draft
NC_049435.1 Ruegeria phage vB_RpoP-V12, complete genome	lytic	high quality draft
NC_020205.1 Xanthomonas citri phage CP2 DNA, complete genome	lytic	high quality draft
NC_048638.1 Pseudomonas phage ZC03, complete genome	lytic	high quality draft
NC_007149.1 Vibriophage VP4, complete genome	lytic	high quality draft
NC_028993.1 Gokushovirinae GAIR4, complete sequence	lytic	low quality draft
NC_005857.1 Klebsiella phage phiKO2, complete genome	lytic	medium quality draft
NC_024371.1 Mycobacterium phage Damien, complete genome	lytic	high quality draft
NC_047824.1 Shewanella phage SppYZU05, complete genome	lytic	high quality draft
NC_049851.1 Burkholderia phage BcepSauron, complete genome	lytic	high quality draft
NC_008198.1 Mycobacterium phage PBI1, complete genome	lytic	high quality draft
NC_055718.1 Escherichia phage phiC120, complete genome	lytic	high quality draft
NC_051706.1 Mycobacterium phage Sandalphon, complete genome	lysogenic	medium quality draft
NC_028746.1 Paenibacillus phage Harrison, complete genome	lytic	high quality draft
NC_047901.1 Klebsiella phage Menlow, complete genome	lytic	high quality draft
NC_024141.1 Mycobacterium phage Kampy, complete genome	lysogenic	high quality draft
NC_042052.1 Streptomyces phage Hydra, complete genome	lytic	high quality draft
NC_013643.1 Enterococcus phage phiFL2A, complete genome	lytic	high quality draft
NC_048074.1 Acinetobacter phage vB_AbaM_B09_Aci01-1, complete genome	lytic	high quality draft
NC_047757.1 Caulobacter phage Seuss, complete genome	lytic	high quality draft
NC_048830.1 Flavobacterium phage vB_FspM_pippi8-1, complete genome	lytic	medium quality draft
NC_061418.1 Klebsiella phage KpLz-2_45, complete genome	lytic	high quality draft
NC_010325.1 Pseudomonas phage LUZ24, complete genome	lytic	high quality draft
NC_042044.1 Salmonella phage Melville, complete genome	lytic	high quality draft
NC_051620.1 Mycobacterium phage LastHope, complete genome	lytic	high quality draft
NC_028938.1 Acidianus bottle-shaped virus 2 strain ABV2, complete genome	lytic	low quality draft
NC_053509.1 Mycobacterium phage Tourach, complete genome	lysogenic	high quality draft
NC_028958.1 Clostridium phage phiCD146, complete genome	lysogenic	high quality draft
NC_042088.1 Gordonia phage Gustav, complete genome	lytic	high quality draft
NC_048794.1 Salmonella virus VSe12, complete genome	lytic	high quality draft
NC_007045.1 Staphylococcus phage PT1028, complete genome	lysogenic	medium quality draft
NC_013651.1 Vibrio phage N4, complete genome	lytic	high quality draft
NC_055834.1 Enterococus phage vipetofem, complete genome	lysogenic	high quality draft
NC_001420.2 Genome of phage G4 (coliphage)	lytic	low quality draft
NC_027398.1 Enterobacteria phage Sf101, complete genome	lysogenic	high quality draft
NC_028915.1 Staphylococcus phage B236, complete genome	lysogenic	high quality draft
NC_011286.1 Mycobacterium phage Butterscotch, complete genome	lytic	high quality draft
NC_041858.1 Bacillus phage Taylor, complete genome	lytic	high quality draft
NC_028849.1 Mycobacterium phage Luchador, complete genome	lytic	high quality draft
NC_047808.1 Escherichia phage vB_EcoP_F, complete genome	lytic	high quality draft
NC_047837.1 Flavobacterium phage FLiP, complete genome	lytic	low quality draft
NC_042118.1 Microbacterium phage Koji, complete genome	lytic	medium quality draft
NC_055836.1 Xanthomonas phage FoX2, complete genome	lytic	high quality draft
NC_047919.1 Staphylococcus phage vB_SauP_phiAGO1.3, complete genome	lytic	medium quality draft
NC_028820.1 Yersinia phage vB_YenM_TG1, complete genome	lytic	high quality draft
NC_035465.1 Morelia viridis nidovirus strain S14-1323_MVNV, complete genome	lytic	low quality draft
NC_014260.1 Enterobacteria phage IME08, complete genome	lytic	high quality draft
NC_020858.2 Sulfitobacter phage pCB2047-A, complete genome	lysogenic	medium quality draft
NC_042328.1 Mycobacterium virus HelDan, complete genome	lysogenic	high quality draft
NC_009813.1 Listeria phage B054, complete genome	lysogenic	high quality draft
NC_048652.1 Bacillus phage vB_BsuM-Goe3, complete genome	lytic	high quality draft
NC_055015.1 Lactococcus phage CHPC1242, partial genome	lytic	medium quality draft
NC_000935.1 Acyrthosiphon pisum bacteriophage APSE-1, complete genome	lysogenic	high quality draft
NC_018835.1 Enterobacteria phage NJ01, complete genome	lytic	high quality draft
NC_055849.1 Vibrio phage Cody, complete genome	lytic	high quality draft
NC_023561.1 Enterobacter phage PG7, complete genome	lytic	high quality draft
NC_053011.1 Erwinia phage pEp_SNUABM_08, complete genome	lytic	high quality draft
NC_052424.1 Mycobacterium phage Bob3, complete genome	lytic	high quality draft
NC_049481.1 Lactococcus phage CHPC361, complete genome	lytic	low quality draft
NC_049834.1 Klebsiella phage vB_KpnS_IMGroot, complete genome	lytic	high quality draft
NC_054452.1 Mycobacterium phage Andies, complete genome	lysogenic	low quality draft
NC_049929.1 Microbacterium phage Teagan, complete genome	lytic	medium quality draft
NC_030924.1 Gordonia phage Monty, complete genome	lytic	high quality draft
NC_015249.1 Enterobacteria phage 285P, complete genome	lytic	high quality draft
NC_010179.2 Lactobacillus johnsonii prophage Lj771, complete genome	lysogenic	medium quality draft
NC_055026.1 Ralstonia phage Dina, complete genome	lysogenic	low quality draft
NC_005841.1 Enterobacteria phage ST104 DNA, complete genome	lysogenic	high quality draft
NC_018275.1 Salmonella phage vB_SemP_Emek, complete genome	lysogenic	high quality draft
NC_048789.1 Corynebacterium phage Stiles, complete genome	lysogenic	medium quality draft
NC_028807.1 Streptomyces phage SF1, complete genome	lytic	low quality draft
NC_049935.1 Enterococcus phage vB_EfaP_Efmus4, complete genome	lytic	high quality draft
NC_023698.1 Mycobacterium phage Avani, complete genome	lysogenic	low quality draft
NC_054770.1 Mycobacterium phage Veracruz, complete genome	lytic	high quality draft
NC_042004.1 Acinetobacter phage vB_AbaP_B3, complete genome	lytic	high quality draft
NC_027359.1 Propionibacterium phage PHL082M00, complete genome	lytic	high quality draft
NC_030931.1 Pseudomonas phage phi2, complete genome	lysogenic	medium quality draft
NC_054793.1 Mycobacterium phage Kimona, complete genome	lysogenic	high quality draft
NC_031010.1 Erwinia phage vB_EamM_Kwan, complete genome	lytic	high quality draft
NC_041875.1 Arthrobacter phage Jasmine, complete genome	lytic	medium quality draft
NC_028672.1 Cronobacter phage PBES 02, complete genome	lytic	high quality draft
NC_041915.1 Acinetobacter phage vB_AbaP_AS11, complete genome	lytic	high quality draft
NC_009543.1 Xanthomonas phage Xop411, complete genome	lytic	high quality draft
NC_051685.1 Mycobacterium phage Minnie, complete genome	lysogenic	medium quality draft
NC_020844.1 Salicola phage CGphi29 genomic sequence	lytic	high quality draft
NC_007050.1 Staphylococcus phage 85, complete genome	lytic	high quality draft
NC_026319.1 Gorilla associated porprismacovirus 1 isolate SF3, complete genome	lytic	low quality draft
NC_054791.1 Mycobacterium phage MyraDee, complete genome	lytic	high quality draft
NC_024123.1 Pseudomonas phage KPP25 DNA, complete sequence	lytic	medium quality draft
NC_031080.1 Mycobacterium phage Tonenili, complete genome	lytic	high quality draft
NC_054454.1 Mycobacterium phage Rebel, complete genome	lytic	medium quality draft
NC_049383.1 Tenacibaculum phage pT24 DNA, complete genome	lytic	high quality draft
NC_001270.2 Spiroplasma phage SVTS2, complete genome	lytic	low quality draft
NC_015326.1 Lausannevirus, complete genome_fragment_1	lysogenic	low quality draft
NC_015326.1 Lausannevirus, complete genome_fragment_2	lysogenic	low quality draft
NC_014765.1 Bathycoccus sp. RCC1105 virus BpV1, complete genome_fragment_1	lysogenic	low quality draft
NC_028047.1 Port-miou virus, complete genome_fragment_1	lysogenic	low quality draft
NC_028047.1 Port-miou virus, complete genome_fragment_2	lysogenic	low quality draft
NC_036594.1 Orpheovirus IHUMI-LCC2 genome assembly, complete genome: monopartite_fragment_2	lysogenic	low quality draft
NC_047799.1 Klebsiella phage K5-4, complete genome	lytic	high quality draft
NC_004735.1 Rhodothermus phage RM378, complete genome	lytic	high quality draft
NC_048751.1 Pantoea phage vB_PagM_LIET2, complete genome	lytic	medium quality draft
NC_052445.1 Mycobacterium phage Michley, complete genome	lytic	high quality draft
NC_042330.1 Mycobacterium virus EricB, complete genome	lytic	high quality draft
NC_030912.1 Gordonia phage McGonagall, complete genome	lysogenic	low quality draft
NC_027119.1 Salmonella phage Det7, complete genome	lytic	high quality draft
NC_048815.1 Gordonia phage Sadboi, complete genome	lytic	high quality draft
NC_041983.1 Mycobacterium phage Timshel, complete genome	lytic	high quality draft
NC_051700.1 Mycobacterium phage Polka14, complete genome	lysogenic	medium quality draft
NC_030145.1 Faeces associated gemycircularvirus 19 isolate 49_Fec80061_pig, complete sequence	lytic	low quality draft
NC_048707.1 Clostridium phage CPS2, complete genome	lytic	medium quality draft
NC_047978.1 Erwinia phage Faunus, complete genome	lytic	high quality draft
NC_017940.1 European sheatfish virus, complete genome	lytic	medium quality draft
NC_022091.1 Pseudomonas phage MPK7, complete genome	lytic	high quality draft
NC_015466.1 Roseobacter phage RDJL Phi 1, complete genome	lytic	medium quality draft
